#Sección,b,c,Periodo,Fecha,NIF Beneficiario,Beneficiario,Tipo de Adjudicación,Descripción,Importe,Origen
Administración General,,,1T,2018-02-22,,CANAL ISABEL II GESTION SA,,FACTURA 113  FACTURACION SUMINISTRO AGUA PERIODO 17/11/17 A 19/01/18,10150.3,
Administración General,,,1T,2018-01-22,,SOLRED,,FACTURA A/2017/00020009243 OPERACIONES REALIZADAS CON TARJETA SOLRED MES DICIEMBRE SERV GENERALES,607.8,
Administración General,,,1T,2018-02-01,,GALP ENERGIA ESPAÑA SAU,,FACTURA SEDE GE17010001508082 CONTRATO 30005632 PERIODO 13/11/17 A 07/12/17 AV TORRELODONES 8,1355.55,
Administración General,,,1T,2018-02-01,,GALP ENERGIA ESPAÑA SAU,,FACTURA  SEDE GE18010001510601 CONTRATO 10743702 PERIODO 08/11/17 A 09/01/17 CL REAL 32,1042.57,
Administración General,,,1T,2018-02-26,,SOLRED,,FACTURA A/2018/0000118669 OPERACIONES REALIZADAS CON TARJETA SOLRED MES ENERO SERV GENERALES,732.44,
Administración General,,,1T,2018-03-06,,GALP ENERGIA ESPAÑA SAU,,FACTURA SEDE GE18010001510809 CONTRATO 30005632 PERIODO 07/12/17 A 11/01/18 AV TORRELODONES 8,1614.19,
Administración General,,,1T,2018-03-06,,GALP ENERGIA ESPAÑA SAU,,FACTURA  SEDE GE18010001514099  CONTRATO 30005632 PERIODO 11/01/17 A 12/02/18 AV TORRELODONES 8,2096.24,
Administración General,,,1T,2018-03-21,,SOLRED,,FACTURA A/2018/0000286074  OPERACIONES REALIZADAS CON TARJETA SOLRED MES DE FEBRERO REGIMEN INTERIOR,492.66,
Administración General,,,1T,2018-02-01,,VIVA AGUA SERVICE SPAIN SA,,FACTURA 1M177314  SUMINISTRO AGUA DEPARTAMENTOS,388.71,
Administración General,,,1T,2018-02-26,,VIVA AGUA SERVICE SPAIN SA,,FACTURA 1M181013402 SUMINISTRO AGUA DEPARTAMENTOS,361.45,
Administración General,,,1T,2018-03-21,,VIVA AGUA SERVICE SPAIN SA,,FACTURA 1M181029037  SUMINISTRO AGUA DEPARTAMENTOS,429.91,
Administración General,,,1T,2018-03-22,,CRISTALERIAS TORRELODONES SA,,FACTURA SEDE 292 MATERIAL URBANISMO EJERCICIO 2017,28.91,
Administración General,,,1T,2018-03-22,,CRISTALERIAS TORRELODONES SA,,FACTURA SEDE 314  MATERIAL PARA URBANISMO,6.5,
Administración General,,,1T,2018-02-07,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,"FACTURA SEDE 90BUUT080001  FACTURACION 4 NOV, 17 A 3 ENE, 18",27090.76,
Administración General,,,1T,2018-02-07,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,FACTURA UFIY1801000001 FACTURACION PERIODO 18/09/17 A 17/11/17,1640.76,
Administración General,,,1T,2018-03-14,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,"FACTURA SEDE 90BUUT080002  DETALLE DE CONCEPTOS( 4 ENE, 18 A 3 MAR, 18 ) CONCURSO COMUNICACIONES",27090.76,
Administración General,,,1T,2018-01-22,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,FACTURA 4002185932  FACTURACION CORREO AYTO MES DICIEMBRE,7119,
Administración General,,,1T,2018-02-21,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,FACTURA 400224970  FACTURACION CORREO AYUNTAMIENTO MES ENERO,530.67,
Administración General,,,1T,2018-03-14,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,FACTURA 4002225895 FACTURACION CORREO AYUNTAMIENTO MES DE FEBRERO,666.19,
Administración General,,,1T,2018-03-26,,VAQUERO PRECIADOS ELENA,,GASTOS A JUSTIFICAR PARA BUROFAX DESPIDO CRISTINA GARCIA,50,
Administración General,,,1T,2018-02-02,,ZURICH INSURANCE PLC SUCURSAL EN ESPAÑA,,FACTURA SEDE 004368153870  COBERTURA DAÑOS MATERIALES BELEN PLAZA,300,
Administración General,,,1T,2018-02-23,,MARKEL INTERNATIONAL INSURANCE,,FACTURA  SEDE 274  POLIZA ACCIDENTES CABALGATA REYES,538.76,
Administración General,,,1T,2018-03-06,,AIG EUROPE LIMITED,,FACTURA  SEDE 2018064 POLIZA SEGURO RESPONSABILIDAD DE LAS AUTORIDADES Y PERSONAL PERIODO 1-7-2017/30-6-2018,4175,
Administración General,,,1T,2018-01-18,,VAQUERO PRECIADOS ELENA,,GASTO A JUSTIFICAR RENOVACION PATENTE TORREFORUM,169.06,
Administración General,,,1T,2018-01-23,,BOLETIN OFICIAL DE LA COMUNIDAD DE MADRID,,INSERCION Nº 03/84/18  2.APROB DEF PRESUPUESTO GENERAL 2018,787.33,
Administración General,,,1T,2018-03-21,,BOLETIN OFICIAL DE LA COMUNIDAD DE MADRID,,INSERCION Nº 03/6632/18  8.APR. MOD. PRECIOS PUB SERVICIO DEPORTES,872.1,
Administración General,,,1T,2018-02-26,,ISERN PATENTES Y MARCAS M S.L.,,FACTURA M-22989 GASTOS Y HONORARIOS ORIGINADOS EN LA SOLICITUD DE LA MARCA CASA DE CULTURA Y LOGOTIPO POR DIEZ AÑOS,474.78,
Administración General,,,1T,2018-03-08,,"LA RAZON. AUDIOVISUAL ESPAÑOLA 2000, S.A.",,FACTURA SEDE 0331  MODIFICACION ORDENANZA FISCAL Nº 14,664.29,
Administración General,,,1T,2018-01-22,,BALYMA SERVICIOS INTEGRALES SL,,FACTURA SEDE 2  LIMPIEZA EDIFICIOS MES DICIEMBRE,11421.27,
Administración General,,,1T,2018-02-07,,BALYMA SERVICIOS INTEGRALES SL,,FACTURA  SEDE 8  LIMPIEZA EDIFICIOS MES ENERO,11421.27,
Administración General,,,1T,2018-03-08,,BALYMA SERVICIOS INTEGRALES SL,,FACTURA SEDE 14  LIMPIEZA EDIF MUNICIPALES MES FEBRERO,11421.27,
Administración General,,,1T,2018-02-01,,"VAL-CARRERES BERRAONDO, CORO",,GASTO A JUSTIFICAR CERTIFICADO FNMT CORO VAL CARRERES,16.94,
Administración General,,,1T,2018-02-26,,CENTRO DE LIMPIEZAS SERCAR SL,,FACTURA 059 SERVICIO LIMPIEZA DE VEHICULOS,88.21,
Administración General,,,1T,2018-03-21,,CENTRO DE LIMPIEZAS SERCAR SL,,FACTURA 068  SERVICIO LIMPIEZA DE VEHICULOS,40.5,
Administración General,,,1T,2018-03-26,,"QUALITY PSICOLOGOS, S.L.",,FACTURA F-02/2018 PROGRAMA DE HABILIDADES PARA RESOLUCION DE CONFLICTOS,2400,
Administración General,,,1T,2018-01-19,,PERSONAL AYUNTAMIENTO,,GASTOS DE DESPLAZAMIENTO PRESTANDO SERVICIOS AL AYUNTAMIENTO Y AYUDA PARA TRANSPORTE PERSONAL COLABORACION SOCIAL,631.4,
Administración General,,,1T,2018-02-23,,PERSONAL AYUNTAMIENTO,,GASTOS DE DESPLAZAMIENTO PRESTANDO SERVICIOS AL AYUNTAMIENTO Y AYUDA PARA TRANSPORTE PERSONAL COLABORACION SOCIAL,325.9,
Administración General,,,1T,2018-03-23,,PERSONAL AYUNTAMIENTO,,GASTOS DE DESPLAZAMIENTO PRESTANDO SERVICIOS AL AYUNTAMIENTO Y AYUDA PARA TRANSPORTE PERSONAL COLABORACION SOCIAL,311.99,
Administración General,,,1T,2018-02-02,,MOBILIAR S.L.,,FACTURA SEDE 1FVC8/0100 MOBILIARIO OFICINA DEPARTAMENTO DE URBANISMO,1151.68,
Administración General,,,2T,2018-04-19,,"NORTHGATE ESPAÑA RENTING FLEXIBLE, S.A.",,"FACTURA SEDE R-1718-029213 ALQUILER 0189-HTL R, CLIO 01/01/18 AL 31/01/18",353.43,
Administración General,,,2T,2018-04-19,,"NORTHGATE ESPAÑA RENTING FLEXIBLE, S.A.",,"FACTURA SEDE A-1718-177951 ALQUILER, MATR: HTL0189, PERIODO FACTURACION: 01/03/18 - 31/03/18",353.43,
Administración General,,,2T,2018-06-19,,ALQUIBER QUALITY SA,,FACTURA ALQ18015428  ALQUILER VEHICULO 8707KKT RENAULT ZOE MES DE MAYO,372.44,
Administración General,,,2T,2018-04-13,,"ELECNOR, S.A",,FACTURA SEDE 1628037000 MANTENIMIENTO EDIFICIOS MUNICIPALES MES DE MARZO,3480.97,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148537R  TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14409A ADJUNTA",87.73,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148536R TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14407A ADJUNTA",277.09,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148535R  TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14406A ADJUNTA",91.36,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148534R  TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14405A ADJUNTA",296.45,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148533R TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14404A ADJUNTA",350.9,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148532R TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14403A ADJUNTA",560.23,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148531R TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14402A ADJUNTA",564.47,
Administración General,,,2T,2018-04-17,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148538R TRABAJOS, SUMINISTRO Y COLOCACION DE MATERIALES INDICADOS EN OFERTA TTQ14410A ADJUNTA",338.18,
Administración General,,,2T,2018-06-22,,"ELECNOR, S.A",,FACTURA SEDE 1628070200 MANTENIMIENTO EDIFICIOS MUNICIPALES MES DE MAYO,3480.97,
Administración General,,,2T,2018-06-25,,"ELECNOR, S.A",,"FACTURA SEDE 1628055500 IMPORTE 13986,69 MANTENIMIENTO EDIFICIOS MUNICIPALES MES DE ABRIL",3480.97,
Administración General,,,2T,2018-05-03,,INSPECCIÓN TECNICA VEHICULAR,,GASTOS A JUSTIFICAR ITV 7153-BLF,70,
Administración General,,,2T,2018-05-29,,ESCUELA DE CONDUCCIÓN AVANZA S.L.,,CONCEPTO REPARACIÓN RENAULT LAGUNA 3513 CBR,758.75,
Administración General,,,2T,2018-04-17,,OFIPAPEL CENTER SL,,FACTURA 07/176611  MATERIAL OFICINA ALCALDIA,79.57,
Administración General,,,2T,2018-04-17,,OFIPAPEL CENTER SL,,FACTURA 07/177293  MATERIAL OFICINA EDUCACION,178.66,
Administración General,,,2T,2018-04-17,,OFIPAPEL CENTER SL,,FACTURA 07/177304 MATERIAL OFICINA DEPORTES,152.19,
Administración General,,,2T,2018-04-17,,OFIPAPEL CENTER SL,,FACTURA 07/177305  MATERIAL OFICINA INTERVENCION,271.05,
Administración General,,,2T,2018-04-19,,OFIPAPEL CENTER SL,,FACTURA 07/177303  MATERIAL OFICINA URBANISMO,2053.1,
Administración General,,,2T,2018-05-09,,LUCA & PRINT SL,,FACTURA 018/000230  CONCEPTO SUMINISTRO SOBRES JUZGADO DE PAZ,430.76,
Administración General,,,2T,2018-05-15,,OFIPAPEL CENTER SL,,FACTURA 07/178530 CONCEPTO MATERIAL PARA ALCALDIA,327.72,
Administración General,,,2T,2018-05-15,,OFIPAPEL CENTER SL,,FACTURA 07/178531 CONCEPTO SUMINISTRO MATERIAL SECRETARIA,18.96,
Administración General,,,2T,2018-06-28,,OFIPAPEL CENTER SL,,FACTURA 07/179576  MATERIAL OFICINA TESORERIA,640.88,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321252363445  CONTRATO 19480122 PERIODO 20/10/2017 - 20/11/2017 CUPS ES0021000005694313PQ EDIF MUNICIPA,378.11,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321252363453 CONTRATO 19480307 PERIODO 20/10/2017 - 20/11/2017 CUPS ES0021000005697127QR EDIF MUNICIPAL,1617.2,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321252363460 CONTRATO 19480394 PERIODO 20/10/2017 - 20/11/2017 CUPS ES0021000013003232LH EDIF MUNICIPAL,328.47,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321252363459  CONTRATO 19480376 PERIODO 20/10/2017 - 20/11/2017  CUPS ES0021000011656392LN EDIF MUNICIP,704.33,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983290 CONTRATO 19480394 PERIODO 19/09/2017 - 19/10/2017 CUPS ES0021000013003232LH EDIF MUNICIPAL,240.6,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983289  CONTRATO 19480394 PERIODO 12/08/2017 - 18/09/2017 CUPS ES0021000013003232LH EDIF MUNICIPA,270.27,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321252363454  CONTRATO 19480307 PERIODO 21/11/2017 - 18/12/2017  CUPS ES0021000005697127QR EDIF MUNICIP,2233.2,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983287  CONTRATO 19480376 PERIODO 12/08/2017 - 18/09/2017  CUPS ES0021000011656392LN EDIF MUNICIP,905.16,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983288 CONTRATO 19480376 PERIODO 19/09/2017 - 19/10/2017  CUPS ES0021000011656392LN EDIF MUNICIPA,577.84,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983266  CONTRATO 19480122 PERIODO 19/09/2017 - 19/10/2017 CUPS ES0021000005694313PQ EDIF MUNICIPA,384.95,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983265  CONTRATO 19480122 PERIODO 12/08/2017 - 18/09/2017  CUPS ES0021000005694313PQ EDIF MUNICIP,491.21,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321252363446 CONTRATO 19480122 PERIODO  21/11/2017 - 18/12/2017  CUPS ES0021000005694313PQ EDIF MUNICIP,382.82,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983275 CONTRATO 19480307 PERIODO 19/09/2017 - 19/10/2017  CUPS ES0021000005697127QR EDIF MUNICIPA,1414.49,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE17321251983274 CONTRATO 19480307 PERIODO 12/08/2017 - 18/09/2017  CUPS ES0021000005697127QR EDIF MUNICIPA,2369.1,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE18321253583646 CONTRATO 19480394  PERIODO 21/11/2017 A 18/12/2017 CUPS ES0021000013003232LH,810.72,
Administración General,,,2T,2018-04-27,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE18321253583645 CONTRATO 19480376 PERIODO 21/11/2017 A 18/12/2017 CUPS ES0021000011656392LN EDIF MUNICIPAL,862.78,
Administración General,,,2T,2018-05-17,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE FE18321261127518 CONTRATO 19480394 PERIODO 13/02/2018 - 18/03/2018  CUPS ES0021000013003232LH DIRECCION PS,1189.68,
Administración General,,,2T,2018-04-20,,CANAL ISABEL II GESTION SA,,"FACTURA ABRIL IMPORTE 11389,34 FACTURACION 19/01/18 A 19/03/18",6069.87,
Administración General,,,2T,2018-04-09,,GALP ENERGIA ESPAÑA SAU,,FACTURA SEDE GE18010001516144 CONTRATO 10743702 PERIODO 09/01/18 AL 07/03/18 CL REAL 32,1073.71,
Administración General,,,2T,2018-04-09,,GALP ENERGIA ESPAÑA SAU,,FACTURA SEDE GE18010001516705  CONTRATO 30005632 PERIODO 12/02/18 A 09/03/18 AV TORRELODONES 8,1608.27,
Administración General,,,2T,2018-04-19,,SOLRED,,FACTURA A/2018/0000454748 OPERACIONES REALIZADAS CON TARJETA SOLRED MES DE MARZO SERV GENERALES,688.38,
Administración General,,,2T,2018-05-18,,SOLRED,,FACTURA A/2018/000624115  CONSUMOS GASOLINA CON TARJETA SERVICIOS GENERALES,600.43,
Administración General,,,2T,2018-05-22,,GALP ENERGIA ESPAÑA SAU,,FACTURA  SEDE GE18010001520006  CONTRATO 30005632 PERIODO 09/03/18 A 05/04/18 AVDA.TORRELODONES 8,1598.49,
Administración General,,,2T,2018-06-19,,GALP ENERGIA ESPAÑA SAU,,FACTURA SEDE GE18010001523148 CONTRATO 10743702 PERIODO 07/03/18 A 09/05/18 CL REAL 32,713.61,
Administración General,,,2T,2018-06-19,,GALP ENERGIA ESPAÑA SAU,,FACTURA SEDE GE18010001523150  CONTRATO 30005632 PERIODO 05/04/18 A 08/05/18 AV TORRELODONES 8,1036.97,
Administración General,,,2T,2018-06-19,,SOLRED,,FACTURA A/2018/0000796374 OPERACIONES REALIZADAS CON TARJETA SOLRED MES DE MAYO SERV GENERALES,352.58,
Administración General,,,2T,2018-04-19,,VIVA AGUA SERVICE SPAIN SA,,FACTURA 1M181045726 SUMINISTRO AGUA DEPARTAMENTOS,449.66,
Administración General,,,2T,2018-05-18,,VIVA AGUA SERVICE SPAIN SA,,FACTURA 1M181063333  CONCEPTO SUMINISTRO AGUA OFICINAS,443.4,
Administración General,,,2T,2018-06-22,,VIVA AGUA SERVICE SPAIN SA,,FACTURA 1M181081824  SUMINISTRO AGUA DEPARTAMENTOS MUNICIPALES,487,
Administración General,,,2T,2018-04-09,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,FACTURA UFIY1803000001 FACTURACION PERIODO 18/11/2017  A 17/01/2017,1640.76,
Administración General,,,2T,2018-05-22,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,"FACTURA SEDE 90BUUT080005  DETALLE DE CONCEPTOS( 4 MAR, 18 A 3 MAY, 18 ) - CONCURSO COMUNICACIONES",27090.76,
Administración General,,,2T,2018-06-05,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,FACTURA UFIY185000001  FACTURACION DEL 18/01/18 A 17/03/18,1640.76,
Administración General,,,2T,2018-04-24,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,FACTURA 4002259198  FACTURACION CORREO AYTO MES DE MARZO,2155.39,
Administración General,,,2T,2018-05-22,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,FACTURA 4002271511  FACTURACION CORREO MES DE ABRIL,5780.05,
Administración General,,,2T,2018-06-22,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,FACTURA 4002295496  CORREO AYTO MES MAYO,793.52,
Administración General,,,2T,2018-05-28,,SECRETARIA DE ESTADO PARA LA SOCIEDAD DE LA INFORMACION  Y LA AGENDA DIGITAL,,"TASA POR RESERVA DEL DOMINIO RADIOELECTRICO - USO PRIVATIVO, EXP. DGM-94366609. RESOLUCION 1354/2018",100,
Administración General,,,2T,2018-04-27,,BOLETIN OFICIAL DE LA COMUNIDAD DE MADRID,,INSERCION Nº 02/12252/18 8.APR PADRON IVTM Y TASA BASURAS 2018,423.36,
